c_personid,c_year,c_index_year
538991,1253,1223
538992,1253,1223
538993,1253,1223
538994,1253,1223
538995,1253,1223
538996,1253,1223
538997,1253,1223
538998,1253,1223
538999,1253,1223
539000,1253,1223
539001,1253,1223
539002,1253,1223
539003,1253,1223
539004,1253,1223
539005,1253,1223
539006,1253,1223
539007,1253,1223
539008,1253,1223
539009,1253,1223
539010,1253,1223
539011,1253,1223
539012,1253,1223
539013,1253,1223
539014,1253,1223
539015,1253,1223
539016,1253,1223
539017,1253,1223
539018,1253,1223
539019,1253,1223
539020,1253,1223
539021,1253,1223
539022,1253,1223
539023,1253,1223
539024,1253,1223
539025,1253,1223
539026,1253,1223
539027,1253,1223
539028,1253,1223
539029,1253,1223
539030,1253,1223
539031,1253,1223
539032,1253,1223
539033,1253,1223
539034,1253,1223
539035,1253,1223
539036,1253,1223
539885,1253,1223
539926,1253,1223
542077,1253,1223
542302,1253,1223
548961,1253,1223
549011,1253,1223
549860,1253,1223
549876,1253,1223
549888,1253,1223
10543,1256,1224
16030,1254,1224
27792,1253,1224
27685,1256,1224
35342,1268,1224
37993,1256,1224
38983,1250,1224
39608,1256,1224
41479,1265,1224
47337,1256,1224
47510,1256,1224
43487,1256,1224
45183,1256,1224
45303,1256,1224
46111,1256,1224
48097,1256,1224
48232,1265,1224
49573,1256,1224
50349,1256,1224
50362,1256,1224
50596,1256,1224
50601,1256,1224
50843,1256,1224
50915,1256,1224
136213,1256,1224
12908,1256,1225
27801,1256,1225
28086,1255,1225
42023,0,1225
42135,1256,1225
42162,1256,1225
42272,1256,1225
42345,1256,1225
42619,1256,1225
42639,1256,1225
42685,1256,1225
42691,1256,1225
43108,1256,1225
44075,1256,1225
44140,1256,1225
45013,1256,1225
45302,1256,1225
46005,1256,1225
48543,1256,1225
50982,1256,1225
51494,1256,1225
51915,1256,1225
136207,1256,1225
12905,1256,1226
12907,1256,1226
18148,1256,1226
18151,1256,1226
18789,1256,1226
20522,1256,1226
21787,1256,1226
22356,1256,1226
24206,1256,1226
38015,1256,1226
39079,1256,1226
39856,1256,1226
39943,1256,1226
39966,1256,1226
40744,1256,1226
41587,1256,1226
41779,1256,1226
42688,1256,1226
42902,1256,1226
47237,1256,1226
47336,1256,1226
43202,1256,1226
43340,1256,1226
43928,1256,1226
45407,1256,1226
45425,1256,1226
45427,1256,1226
45433,1256,1226
45967,1256,1226
45970,1256,1226
46328,1262,1226
46650,1256,1226
51041,1256,1226
51067,1256,1226
51444,1256,1226
47963,1256,1226
48009,1256,1226
48290,1256,1226
48659,1256,1226
48660,1256,1226
48738,1256,1226
49625,1256,1226
49700,1256,1226
50599,1256,1226
50733,1256,1226
50750,1256,1226
50849,1256,1226
50854,1256,1226
50864,1256,1226
50897,1256,1226
51001,1256,1226
51017,1256,1226
51024,1256,1226
51031,1256,1226
51943,1256,1226
51992,1256,1226
52276,1256,1226
112168,1256,1226
136205,1256,1226
384993,1256,1226
384994,1256,1226
384995,1256,1226
384996,1256,1226
384997,1256,1226
531228,1256,1226
531230,1256,1226
531241,1256,1226
531242,1256,1226
531243,1256,1226
531253,1256,1226
532883,1256,1226
539039,1256,1226
539152,1256,1226
539153,1256,1226
539154,1256,1226
539155,1256,1226
539156,1256,1226
539157,1256,1226
539158,1256,1226
539159,1256,1226
539160,1256,1226
539161,1256,1226
539162,1256,1226
539163,1256,1226
539164,1256,1226
539165,1256,1226
539166,1256,1226
539167,1256,1226
539168,1256,1226
539169,1256,1226
539170,1256,1226
539171,1256,1226
539172,1256,1226
539173,1256,1226
539174,1256,1226
539176,1256,1226
539177,1256,1226
539178,1256,1226
539179,1256,1226
539180,1256,1226
539181,1256,1226
539182,1256,1226
539183,1256,1226
539184,1256,1226
539185,1256,1226
539186,1256,1226
539187,1256,1226
539188,1256,1226
539189,1256,1226
539190,1256,1226
539191,1256,1226
539192,1256,1226
539193,1256,1226
539194,1256,1226
539195,1256,1226
539196,1256,1226
539197,1256,1226
539198,1256,1226
539199,1256,1226
539200,1256,1226
539201,1256,1226
539202,1256,1226
539203,1256,1226
548872,1256,1226
20743,0,1227
26071,1256,1227
27601,1256,1227
27657,1256,1227
27727,1262,1227
38497,1256,1227
39292,1247,1227
40579,1256,1227
40985,1256,1227
47101,1256,1227
44040,1256,1227
44814,1256,1227
45017,1256,1227
47959,1256,1227
48387,1256,1227
48759,1256,1227
49623,1256,1227
50205,1256,1227
50371,1256,1227
50372,1256,1227
50602,1256,1227
50730,1256,1227
50731,1256,1227
50826,1256,1227
51009,1256,1227
51599,1256,1227
117899,1256,1227
11960,1256,1228
39866,1256,1228
40399,1256,1228
41233,1256,1228
45012,1256,1228
45016,1256,1228
45704,1256,1228
46323,1256,1228
51323,1256,1228
47844,1256,1228
48343,1256,1228
48992,1256,1228
49631,1256,1228
49985,1256,1228
50350,1244,1228
50373,1256,1228
50734,1256,1228
50837,1256,1228
52335,1256,1228
11578,1259,1229
12916,1259,1229
12920,1259,1229
17021,1256,1229
18152,1259,1229
19543,0,1229
19881,1256,1229
19993,1259,1229
21521,1259,1229
22366,1259,1229
24217,1259,1229
27829,1268,1229
25925,1259,1229
25926,1259,1229
26006,1259,1229
26072,1256,1229
27230,1259,1229
27571,1259,1229
33289,1259,1229
34393,1259,1229
35410,1271,1229
38963,1256,1229
39170,1256,1229
39914,1256,1229
40009,1256,1229
41514,1256,1229
41866,1259,1229
41973,1256,1229
42537,1259,1229
43142,1256,1229
43566,1259,1229
45296,1256,1229
45301,1256,1229
45390,1256,1229
47582,1259,1229
51037,1256,1229
51179,1256,1229
47966,1256,1229
48541,1259,1229
48730,1256,1229
49513,1256,1229
49927,1259,1229
50089,1256,1229
50746,1259,1229
50829,1256,1229
50912,1259,1229
51007,1256,1229
51562,1259,1229
52061,1259,1229
52803,1259,1229
52820,1256,1229
52822,1259,1229
52926,1256,1229
384998,1259,1229
384999,1259,1229
480357,1259,1229
537623,1259,1229
539911,1259,1229
548858,1259,1229
549107,1259,1229
549314,1259,1229
549315,1259,1229
549316,1259,1229
549317,1259,1229
549318,1259,1229
549319,1259,1229
549320,1259,1229
549321,1259,1229
549322,1259,1229
549323,1259,1229
549324,1259,1229
549325,1259,1229
549326,1259,1229
549327,1259,1229
549328,1259,1229
549329,1259,1229
549330,1259,1229
549331,1259,1229
549332,1259,1229
549333,1259,1229
549334,1259,1229
549335,1259,1229
549336,1259,1229
549337,1259,1229
549338,1259,1229
549339,1259,1229
549340,1259,1229
549341,1259,1229
549342,1259,1229
549343,1259,1229
549344,1259,1229
549345,1259,1229
549346,1259,1229
549347,1259,1229
549348,1259,1229
549349,1259,1229
549350,1259,1229
549351,1259,1229
549352,1259,1229
549353,1259,1229
549354,1259,1229
549355,1259,1229
549356,1259,1229
549357,1259,1229
549358,1259,1229
549359,1259,1229
549360,1259,1229
549361,1259,1229
549362,1259,1229
549363,1259,1229
549364,1259,1229
549365,1259,1229
549366,1259,1229
549367,1259,1229
549368,1259,1229
549369,1259,1229
549370,1259,1229
549371,1259,1229
549372,1259,1229
549373,1259,1229
549374,1259,1229
549375,1259,1229
549376,1259,1229
549377,1259,1229
549378,1259,1229
549379,1259,1229
549380,1259,1229
549381,1259,1229
549382,1259,1229
549383,1259,1229
549384,1259,1229
549385,1259,1229
549386,1259,1229
549387,1259,1229
549388,1259,1229
549389,1259,1229
549390,1259,1229
549391,1259,1229
549392,1259,1229
549393,1259,1229
549394,1259,1229
549395,1259,1229
549396,1259,1229
549397,1259,1229
549398,1259,1229
549399,1259,1229
549400,1259,1229
549401,1259,1229
549402,1259,1229
549403,1259,1229
549404,1259,1229
549405,1259,1229
549406,1259,1229
549407,1259,1229
549408,1259,1229
549409,1259,1229
549410,1259,1229
549411,1259,1229
549412,1259,1229
549413,1259,1229
549414,1259,1229
549415,1259,1229
549416,1259,1229
549417,1259,1229
549418,1259,1229
549419,1259,1229
549420,1259,1229
549421,1259,1229
549422,1259,1229
549423,1259,1229
549424,1259,1229
549425,1259,1229
549426,1259,1229
549427,1259,1229
549428,1259,1229
549429,1259,1229
549430,1259,1229
549431,1259,1229
549432,1259,1229
549433,1259,1229
549434,1259,1229
549435,1259,1229
549436,1259,1229
549437,1259,1229
549438,1259,1229
549439,1259,1229
549440,1259,1229
549441,1259,1229
549442,1259,1229
549443,1259,1229
549444,1259,1229
549445,1259,1229
549446,1259,1229
549447,1259,1229
549448,1259,1229
549449,1259,1229
549450,1259,1229
549451,1259,1229
549452,1259,1229
549453,1259,1229
549454,1259,1229
549455,1259,1229
549456,1259,1229
549457,1259,1229
549458,1259,1229
549459,1259,1229
549460,1259,1229
549461,1259,1229
549462,1259,1229
549463,1259,1229
549464,1259,1229
549465,1259,1229
549466,1259,1229
549467,1259,1229
549468,1259,1229
549469,1259,1229
549470,1259,1229
549471,1259,1229
549472,1259,1229
549473,1259,1229
549474,1259,1229
